step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
290,36200,1160,0.023615246497708426,1.0,1.0,,,,,,,,,
291,36332,1164,0.01867022773245594,1.0,1.0,,,,,,,,,
292,36464,1168,0.01718716390617487,1.0,1.0,,,,,,,,,
293,36596,1172,0.0203283335189667,1.0,1.0,,,,,,,,,
294,36696,1176,0.017907241701250316,1.0,1.0,,,,,,,,,
295,36828,1180,0.022967745622162285,0.75,0.75,,,,,,,,,
296,36928,1184,0.023987416770811856,1.0,1.0,,,,,,,,,
297,37060,1188,0.023519205759264424,1.0,1.0,0.039283051667684955,0.75,0.75,,,,,,
298,37160,1192,0.022738499507995585,1.0,1.0,,,,,,,,,
299,37292,1196,0.01626183885433534,1.0,1.0,,,,,,,,,
300,37424,1200,0.01821379950966275,1.0,1.0,,,,,,,,,
301,37556,1204,0.044668501655974066,0.75,0.75,,,,,,,,,
302,37688,1208,0.021242844212215457,1.0,1.0,,,,,,,,,
303,37820,1212,0.01455367013376872,1.0,1.0,,,,,,,,,
304,37952,1216,0.018211794551193067,1.0,1.0,,,,,,,,,
305,38052,1220,0.10758083730615149,0.5,0.5,0.01951738731326145,1.0,1.0,,,,,,
306,38184,1224,0.031862869752418414,0.75,0.75,,,,,,,,,
307,38316,1228,0.029531169418582977,0.75,0.75,,,,,,,,,
308,38416,1232,0.023484477757077304,1.0,1.0,,,,,,,,,
309,38548,1236,0.022322701293983303,1.0,1.0,,,,,,,,,
310,38680,1240,0.013407881270682081,1.0,1.0,,,,,,,,,
311,38812,1244,0.026440172987336155,0.75,0.75,,,,,,,,,
312,38944,1248,0.02691369366869367,1.0,1.0,,,,,,,,,
313,39076,1252,0.01667918255960103,1.0,1.0,0.021032371116657483,1.0,1.0,,,,,,
314,39176,1256,0.03139901893978579,0.75,0.75,,,,,,,,,
315,39308,1260,0.014583197209267382,1.0,1.0,,,,,,,,,
316,39440,1264,0.026077847227998063,0.75,0.75,,,,,,,,,
317,39572,1268,0.012993742706621562,1.0,1.0,,,,,,,,,
318,39704,1272,0.021552973521966126,1.0,1.0,,,,,,,,,
319,39836,1276,0.041318146701369185,0.75,0.75,,,,,,,,,
320,39968,1280,0.04323435697160676,0.5,0.5,,,,,,,,,
321,40100,1284,0.04334937278906182,0.75,0.75,0.021428827215156616,0.75,0.75,,,,,,
322,40200,1288,0.029725758307567962,1.0,1.0,,,,,,,,,
323,40332,1292,0.025963693920515424,0.75,0.75,,,,,,,,,
324,40464,1296,0.02650551748377438,0.75,0.75,,,,,,,,,
